"","SPY","XLP","XLK","XLY","XLI","XLB","XLF","XLU","XLE","XLV"
"647",-3.51165651165651,-3.51192051192051,-3.51262551262551,-3.51104751104751,-3.51152751152751,-3.51161451161451,-3.51061251061251,-3.51231051231051,-3.51177651177651,-3.51080451080451
"648",-3.51133551133551,-3.51161451161451,-3.51237351237351,-3.51080451080451,-3.51114951114951,-3.51107751107751,-3.51019251019251,-3.51209751209751,-3.51123051123051,-3.51075651075651
"649",-3.51189651189651,-3.51202551202551,-3.51298551298551,-3.51120051120051,-3.51169851169851,-3.51134751134751,-3.51093651093651,-3.51260151260151,-3.51185151185151,-3.51125751125751
"650",-3.51213951213951,-3.51226851226851,-3.51329151329151,-3.51148551148551,-3.51184251184251,-3.51149751149751,-3.51108651108651,-3.51267651267651,-3.51221451221451,-3.51151251151251
"651",-3.51210051210051,-3.51228051228051,-3.51314751314751,-3.51162051162051,-3.51171051171051,-3.51149151149151,-3.51103551103551,-3.51276051276051,-3.51223551223551,-3.51142551142551
"652",-3.51210051210051,-3.51223551223551,-3.51321651321651,-3.51170151170151,-3.51165051165051,-3.51153651153651,-3.51103551103551,-3.51289251289251,-3.51206151206151,-3.51138951138951
"653",-3.51202551202551,-3.51216951216951,-3.51309651309651,-3.51153651153651,-3.51153651153651,-3.51139251139251,-3.51107151107151,-3.51271851271851,-3.51193551193551,-3.51139851139851
"654",-3.51238851238851,-3.51239151239151,-3.51345651345651,-3.51191151191151,-3.51211551211551,-3.51191751191751,-3.51156051156051,-3.51283551283551,-3.51237651237651,-3.51169851169851
"655",-3.51240351240351,-3.51251751251751,-3.51357351357351,-3.51187851187851,-3.51190851190851,-3.51173151173151,-3.51151851151851,-3.51303051303051,-3.51219951219951,-3.51179451179451
"656",-3.51228951228951,-3.51235251235251,-3.51352251352251,-3.51177351177351,-3.51179751179751,-3.51177951177951,-3.51138651138651,-3.51276951276951,-3.51204351204351,-3.51164751164751
"657",-3.51228951228951,-3.51227151227151,-3.51341451341451,-3.51179451179451,-3.51187551187551,-3.51171051171051,-3.51148851148851,-3.51298251298251,-3.51200151200151,-3.51175851175851
"658",-3.51235851235851,-3.51203751203751,-3.51346551346551,-3.51180051180051,-3.51202851202851,-3.51209451209451,-3.51159351159351,-3.51294951294951,-3.51243651243651,-3.51163551163551
"659",-3.51220851220851,-3.51198651198651,-3.51318651318651,-3.51170151170151,-3.51187251187251,-3.51202851202851,-3.51142851142851,-3.51301551301551,-3.51223851223851,-3.51158151158151
"660",-3.51198651198651,-3.51162351162351,-3.51290751290751,-3.51142251142251,-3.51171951171951,-3.51183951183951,-3.51135051135051,-3.51301851301851,-3.51216651216651,-3.51134151134151
"661",-3.51209451209451,-3.51166251166251,-3.51292851292851,-3.51161451161451,-3.51178251178251,-3.51179451179451,-3.51150351150351,-3.51264951264951,-3.51248151248151,-3.51144051144051
"662",-3.51250851250851,-3.51204351204351,-3.51329751329751,-3.51195651195651,-3.51205551205551,-3.51239151239151,-3.51221751221751,-3.51288051288051,-3.51298251298251,-3.51176451176451
"663",-3.51243351243351,-3.51169851169851,-3.51327351327351,-3.51177051177051,-3.51201051201051,-3.51255951255951,-3.51230451230451,-3.51266451266451,-3.51306651306651,-3.51152751152751
"664",-3.51227451227451,-3.51164751164751,-3.51319251319251,-3.51163851163851,-3.51180051180051,-3.51212151212151,-3.51201951201951,-3.51242451242451,-3.51287151287151,-3.51150051150051
"665",-3.51225351225351,-3.51168951168951,-3.51322851322851,-3.51152751152751,-3.51184851184851,-3.51204951204951,-3.51194451194451,-3.51214851214851,-3.51274851274851,-3.51154251154251
"666",-3.51236151236151,-3.51182151182151,-3.51327351327351,-3.51184251184251,-3.51210951210951,-3.51252351252351,-3.51200751200751,-3.51229551229551,-3.51266451266451,-3.51160551160551
"667",-3.51239151239151,-3.51197151197151,-3.51327051327051,-3.51189951189951,-3.51184251184251,-3.51245451245451,-3.51194751194751,-3.51247851247851,-3.51279351279351,-3.51164751164751
"668",-3.51224151224151,-3.51171051171051,-3.51341451341451,-3.51187551187551,-3.51144351144351,-3.51250251250251,-3.51155151155151,-3.51197451197451,-3.51258651258651,-3.51155751155751
"669",-3.51214251214251,-3.51175551175551,-3.51316551316551,-3.51169251169251,-3.51144951144951,-3.51239151239151,-3.51150051150051,-3.51217851217851,-3.51241851241851,-3.51162351162351
"670",-3.51187251187251,-3.51147651147651,-3.51299151299151,-3.51138351138351,-3.51105951105951,-3.51190551190551,-3.51104151104151,-3.51211551211551,-3.51208251208251,-3.51154251154251
"671",-3.51175251175251,-3.51150051150051,-3.51280251280251,-3.51136251136251,-3.51087951087951,-3.51168051168051,-3.51096351096351,-3.51215451215451,-3.51191451191451,-3.51135651135651
"672",-3.51180651180651,-3.51155451155451,-3.51279051279051,-3.51150051150051,-3.51102951102951,-3.51176751176751,-3.51104451104451,-3.51202851202851,-3.51207351207351,-3.51125751125751
"673",-3.51170451170451,-3.51153351153351,-3.51268551268551,-3.51139251139251,-3.51091251091251,-3.51170451170451,-3.51089151089151,-3.51215451215451,-3.51190551190551,-3.51120351120351
"674",-3.51187851187851,-3.51169551169551,-3.51278151278151,-3.51150951150951,-3.51107151107151,-3.51182451182451,-3.51108351108351,-3.51214251214251,-3.51219351219351,-3.51149151149151
"675",-3.51197451197451,-3.51174651174651,-3.51300051300051,-3.51155451155451,-3.51108051108051,-3.51156951156951,-3.51119451119451,-3.51232551232551,-3.51230451230451,-3.51165951165951
"676",-3.51181551181551,-3.51176451176451,-3.51285651285651,-3.51135051135051,-3.51099951099951,-3.51127251127251,-3.51095151095151,-3.51211251211251,-3.51187551187551,-3.51166851166851
"677",-3.51173451173451,-3.51186051186051,-3.51261351261351,-3.51129651129651,-3.51084951084951,-3.51129051129051,-3.51096351096351,-3.51208551208551,-3.51170151170151,-3.51163251163251
"678",-3.51188451188451,-3.51213651213651,-3.51261051261051,-3.51149451149451,-3.51102351102351,-3.51147351147351,-3.51106851106851,-3.51220251220251,-3.51179151179151,-3.51186351186351
"679",-3.51170151170151,-3.51196551196551,-3.51237051237051,-3.51141351141351,-3.51086751086751,-3.51124251124251,-3.51077151077151,-3.51217551217551,-3.51168651168651,-3.51181851181851
"680",-3.51181851181851,-3.51215451215451,-3.51240051240051,-3.51139851139851,-3.51090651090651,-3.51139851139851,-3.51099951099951,-3.51242751242751,-3.51201351201351,-3.51185151185151
"681",-3.51175551175551,-3.51213351213351,-3.51237651237651,-3.51126051126051,-3.51078051078051,-3.51108051108051,-3.51102351102351,-3.51247851247851,-3.51180051180051,-3.51178251178251
